,Mes,Región,Temperatura
0,Ene,Aguascalientes,12.9
1,Feb,Aguascalientes,14.9
2,Mar,Aguascalientes,17.9
3,Abr,Aguascalientes,19.4
4,May,Aguascalientes,20.5
5,Jun,Aguascalientes,19.8
6,Jul,Aguascalientes,18.9
7,Ago,Aguascalientes,19.2
8,Sep,Aguascalientes,18.7
9,Oct,Aguascalientes,
10,Nov,Aguascalientes,
11,Dic,Aguascalientes,
12,Ene,Baja California,13.6
13,Feb,Baja California,14.4
14,Mar,Baja California,14.1
15,Abr,Baja California,18.0
16,May,Baja California,20.5
17,Jun,Baja California,24.4
18,Jul,Baja California,27.4
19,Ago,Baja California,27.0
20,Sep,Baja California,26.4
21,Oct,Baja California,
22,Nov,Baja California,
23,Dic,Baja California,
24,Ene,Baja California Sur,17.3
25,Feb,Baja California Sur,18.2
26,Mar,Baja California Sur,19.0
27,Abr,Baja California Sur,21.9
28,May,Baja California Sur,23.8
29,Jun,Baja California Sur,26.9
30,Jul,Baja California Sur,28.2
31,Ago,Baja California Sur,29.1
32,Sep,Baja California Sur,27.7
33,Oct,Baja California Sur,
34,Nov,Baja California Sur,
35,Dic,Baja California Sur,
36,Ene,Campeche,24.1
37,Feb,Campeche,25.2
38,Mar,Campeche,27.4
39,Abr,Campeche,29.6
40,May,Campeche,29.8
41,Jun,Campeche,29.2
42,Jul,Campeche,29.0
43,Ago,Campeche,28.8
44,Sep,Campeche,28.7
45,Oct,Campeche,
46,Nov,Campeche,
47,Dic,Campeche,
48,Ene,Coahuila,13.5
49,Feb,Coahuila,15.5
50,Mar,Coahuila,19.8
51,Abr,Coahuila,23.0
52,May,Coahuila,26.2
53,Jun,Coahuila,28.1
54,Jul,Coahuila,27.5
55,Ago,Coahuila,27.8
56,Sep,Coahuila,26.6
57,Oct,Coahuila,
58,Nov,Coahuila,
59,Dic,Coahuila,
60,Ene,Colima,24.8
61,Feb,Colima,24.2
62,Mar,Colima,24.9
63,Abr,Colima,25.5
64,May,Colima,27.2
65,Jun,Colima,28.2
66,Jul,Colima,28.6
67,Ago,Colima,28.1
68,Sep,Colima,27.7
69,Oct,Colima,
70,Nov,Colima,
71,Dic,Colima,
72,Ene,Chiapas,23.9
73,Feb,Chiapas,24.0
74,Mar,Chiapas,25.4
75,Abr,Chiapas,27.0
76,May,Chiapas,26.7
77,Jun,Chiapas,26.0
78,Jul,Chiapas,26.2
79,Ago,Chiapas,26.0
80,Sep,Chiapas,25.4
81,Oct,Chiapas,
82,Nov,Chiapas,
83,Dic,Chiapas,
84,Ene,Chihuahua,9.9
85,Feb,Chihuahua,13.4
86,Mar,Chihuahua,15.4
87,Abr,Chihuahua,19.3
88,May,Chihuahua,22.8
89,Jun,Chihuahua,26.5
90,Jul,Chihuahua,24.5
91,Ago,Chihuahua,24.5
92,Sep,Chihuahua,23.0
93,Oct,Chihuahua,
94,Nov,Chihuahua,
95,Dic,Chihuahua,
96,Ene,Ciudad de México,15.3
97,Feb,Ciudad de México,16.3
98,Mar,Ciudad de México,18.9
99,Abr,Ciudad de México,19.6
100,May,Ciudad de México,19.7
101,Jun,Ciudad de México,18.5
102,Jul,Ciudad de México,18.9
103,Ago,Ciudad de México,19.1
104,Sep,Ciudad de México,18.5
105,Oct,Ciudad de México,
106,Nov,Ciudad de México,
107,Dic,Ciudad de México,
108,Ene,Durango,11.8
109,Feb,Durango,15.0
110,Mar,Durango,17.2
111,Abr,Durango,19.7
112,May,Durango,22.0
113,Jun,Durango,23.2
114,Jul,Durango,21.7
115,Ago,Durango,21.8
116,Sep,Durango,21.0
117,Oct,Durango,
118,Nov,Durango,
119,Dic,Durango,
120,Ene,Guanajuato,15.5
121,Feb,Guanajuato,17.0
122,Mar,Guanajuato,20.1
123,Abr,Guanajuato,21.6
124,May,Guanajuato,22.1
125,Jun,Guanajuato,20.5
126,Jul,Guanajuato,20.2
127,Ago,Guanajuato,20.3
128,Sep,Guanajuato,19.7
129,Oct,Guanajuato,
130,Nov,Guanajuato,
131,Dic,Guanajuato,
132,Ene,Guerrero,24.0
133,Feb,Guerrero,24.0
134,Mar,Guerrero,26.1
135,Abr,Guerrero,26.9
136,May,Guerrero,27.5
137,Jun,Guerrero,25.4
138,Jul,Guerrero,26.1
139,Ago,Guerrero,25.5
140,Sep,Guerrero,25.3
141,Oct,Guerrero,
142,Nov,Guerrero,
143,Dic,Guerrero,
144,Ene,Hidalgo,15.4
145,Feb,Hidalgo,16.9
146,Mar,Hidalgo,19.5
147,Abr,Hidalgo,20.8
148,May,Hidalgo,21.7
149,Jun,Hidalgo,20.2
150,Jul,Hidalgo,19.9
151,Ago,Hidalgo,20.0
152,Sep,Hidalgo,19.8
153,Oct,Hidalgo,
154,Nov,Hidalgo,
155,Dic,Hidalgo,
156,Ene,Jalisco,17.5
157,Feb,Jalisco,19.3
158,Mar,Jalisco,21.2
159,Abr,Jalisco,22.8
160,May,Jalisco,23.9
161,Jun,Jalisco,23.6
162,Jul,Jalisco,23.1
163,Ago,Jalisco,23.1
164,Sep,Jalisco,22.6
165,Oct,Jalisco,
166,Nov,Jalisco,
167,Dic,Jalisco,
168,Ene,Estado de México,12.4
169,Feb,Estado de México,13.2
170,Mar,Estado de México,16.2
171,Abr,Estado de México,16.9
172,May,Estado de México,17.1
173,Jun,Estado de México,16.1
174,Jul,Estado de México,15.8
175,Ago,Estado de México,15.8
176,Sep,Estado de México,15.5
177,Oct,Estado de México,
178,Nov,Estado de México,
179,Dic,Estado de México,
180,Ene,Michoacán,17.5
181,Feb,Michoacán,18.1
182,Mar,Michoacán,21.0
183,Abr,Michoacán,21.8
184,May,Michoacán,22.3
185,Jun,Michoacán,21.5
186,Jul,Michoacán,21.4
187,Ago,Michoacán,21.2
188,Sep,Michoacán,21.1
189,Oct,Michoacán,
190,Nov,Michoacán,
191,Dic,Michoacán,
192,Ene,Morelos,19.7
193,Feb,Morelos,20.7
194,Mar,Morelos,23.7
195,Abr,Morelos,24.8
196,May,Morelos,24.5
197,Jun,Morelos,22.6
198,Jul,Morelos,22.4
199,Ago,Morelos,22.4
200,Sep,Morelos,22.2
201,Oct,Morelos,
202,Nov,Morelos,
203,Dic,Morelos,
204,Ene,Nayarit,20.7
205,Feb,Nayarit,22.4
206,Mar,Nayarit,22.8
207,Abr,Nayarit,25.4
208,May,Nayarit,27.1
209,Jun,Nayarit,28.1
210,Jul,Nayarit,27.9
211,Ago,Nayarit,27.9
212,Sep,Nayarit,27.3
213,Oct,Nayarit,
214,Nov,Nayarit,
215,Dic,Nayarit,
216,Ene,Nuevo León,14.9
217,Feb,Nuevo León,16.3
218,Mar,Nuevo León,20.8
219,Abr,Nuevo León,24.1
220,May,Nuevo León,26.0
221,Jun,Nuevo León,26.9
222,Jul,Nuevo León,26.4
223,Ago,Nuevo León,27.5
224,Sep,Nuevo León,26.4
225,Oct,Nuevo León,
226,Nov,Nuevo León,
227,Dic,Nuevo León,
228,Ene,Oaxaca,20.8
229,Feb,Oaxaca,21.9
230,Mar,Oaxaca,23.7
231,Abr,Oaxaca,25.3
232,May,Oaxaca,25.6
233,Jun,Oaxaca,24.0
234,Jul,Oaxaca,24.6
235,Ago,Oaxaca,24.3
236,Sep,Oaxaca,23.9
237,Oct,Oaxaca,
238,Nov,Oaxaca,
239,Dic,Oaxaca,
240,Ene,Puebla,16.0
241,Feb,Puebla,16.8
242,Mar,Puebla,19.3
243,Abr,Puebla,20.9
244,May,Puebla,20.7
245,Jun,Puebla,19.5
246,Jul,Puebla,19.4
247,Ago,Puebla,19.3
248,Sep,Puebla,19.1
249,Oct,Puebla,
250,Nov,Puebla,
251,Dic,Puebla,
252,Ene,Querétaro,16.5
253,Feb,Querétaro,17.7
254,Mar,Querétaro,20.7
255,Abr,Querétaro,23.0
256,May,Querétaro,23.0
257,Jun,Querétaro,21.8
258,Jul,Querétaro,21.5
259,Ago,Querétaro,21.5
260,Sep,Querétaro,21.2
261,Oct,Querétaro,
262,Nov,Querétaro,
263,Dic,Querétaro,
264,Ene,Quintana Roo,24.6
265,Feb,Quintana Roo,25.5
266,Mar,Quintana Roo,26.5
267,Abr,Quintana Roo,28.5
268,May,Quintana Roo,29.3
269,Jun,Quintana Roo,29.0
270,Jul,Quintana Roo,29.4
271,Ago,Quintana Roo,29.3
272,Sep,Quintana Roo,29.1
273,Oct,Quintana Roo,
274,Nov,Quintana Roo,
275,Dic,Quintana Roo,
276,Ene,San Luis Potosí,18.6
277,Feb,San Luis Potosí,19.7
278,Mar,San Luis Potosí,23.6
279,Abr,San Luis Potosí,26.5
280,May,San Luis Potosí,27.1
281,Jun,San Luis Potosí,26.2
282,Jul,San Luis Potosí,25.9
283,Ago,San Luis Potosí,26.2
284,Sep,San Luis Potosí,25.3
285,Oct,San Luis Potosí,
286,Nov,San Luis Potosí,
287,Dic,San Luis Potosí,
288,Ene,Sinaloa,19.2
289,Feb,Sinaloa,20.5
290,Mar,Sinaloa,21.4
291,Abr,Sinaloa,24.6
292,May,Sinaloa,27.6
293,Jun,Sinaloa,30.6
294,Jul,Sinaloa,30.2
295,Ago,Sinaloa,30.1
296,Sep,Sinaloa,29.4
297,Oct,Sinaloa,
298,Nov,Sinaloa,
299,Dic,Sinaloa,
300,Ene,Sonora,14.2
301,Feb,Sonora,16.0
302,Mar,Sonora,17.1
303,Abr,Sonora,21.9
304,May,Sonora,24.9
305,Jun,Sonora,30.4
306,Jul,Sonora,30.7
307,Ago,Sonora,30.6
308,Sep,Sonora,29.0
309,Oct,Sonora,
310,Nov,Sonora,
311,Dic,Sonora,
312,Ene,Tabasco,24.2
313,Feb,Tabasco,25.0
314,Mar,Tabasco,27.3
315,Abr,Tabasco,29.5
316,May,Tabasco,29.4
317,Jun,Tabasco,28.8
318,Jul,Tabasco,29.2
319,Ago,Tabasco,28.9
320,Sep,Tabasco,28.6
321,Oct,Tabasco,
322,Nov,Tabasco,
323,Dic,Tabasco,
324,Ene,Tamaulipas,18.4
325,Feb,Tamaulipas,18.3
326,Mar,Tamaulipas,23.0
327,Abr,Tamaulipas,26.3
328,May,Tamaulipas,28.2
329,Jun,Tamaulipas,28.7
330,Jul,Tamaulipas,28.6
331,Ago,Tamaulipas,29.7
332,Sep,Tamaulipas,28.5
333,Oct,Tamaulipas,
334,Nov,Tamaulipas,
335,Dic,Tamaulipas,
336,Ene,Tlaxcala,12.6
337,Feb,Tlaxcala,13.0
338,Mar,Tlaxcala,16.2
339,Abr,Tlaxcala,16.8
340,May,Tlaxcala,16.9
341,Jun,Tlaxcala,16.0
342,Jul,Tlaxcala,15.8
343,Ago,Tlaxcala,15.9
344,Sep,Tlaxcala,15.8
345,Oct,Tlaxcala,
346,Nov,Tlaxcala,
347,Dic,Tlaxcala,
348,Ene,Veracruz,19.0
349,Feb,Veracruz,19.9
350,Mar,Veracruz,22.5
351,Abr,Veracruz,24.9
352,May,Veracruz,25.8
353,Jun,Veracruz,25.1
354,Jul,Veracruz,24.9
355,Ago,Veracruz,24.7
356,Sep,Veracruz,24.7
357,Oct,Veracruz,
358,Nov,Veracruz,
359,Dic,Veracruz,
360,Ene,Yucatán,23.3
361,Feb,Yucatán,24.7
362,Mar,Yucatán,26.6
363,Abr,Yucatán,29.1
364,May,Yucatán,29.5
365,Jun,Yucatán,28.6
366,Jul,Yucatán,28.9
367,Ago,Yucatán,28.6
368,Sep,Yucatán,28.4
369,Oct,Yucatán,
370,Nov,Yucatán,
371,Dic,Yucatán,
372,Ene,Zacatecas,13.0
373,Feb,Zacatecas,15.5
374,Mar,Zacatecas,18.2
375,Abr,Zacatecas,19.9
376,May,Zacatecas,21.6
377,Jun,Zacatecas,21.2
378,Jul,Zacatecas,20.0
379,Ago,Zacatecas,20.2
380,Sep,Zacatecas,19.5
381,Oct,Zacatecas,
382,Nov,Zacatecas,
383,Dic,Zacatecas,
